rank,company,phone,email,permits_24mo,opener_stat,kit
1,Tampa Bay Pools On The Gulf LLC,(813)684-3639 / (813)819-4700,mmihalsky@bluehaven.com,584,584 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/01-tampa-bay-pools-on-the-gulf-llc.md
2,Gulfstream Pools & Spas Inc,(727)919-7294,,261,"261 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/02-gulfstream-pools-spas-inc.md
3,Trendsetter Pools LLC,(813)293-2677 / (813)963-1361,bftpools@tampabay.rr.com,207,207 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/03-trendsetter-pools-llc.md
4,"Islandway Pools, LLC",(727)488-2047 / (727)599-1108,islandwayjustin@gmail.com,193,"193 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/04-islandway-pools-llc.md
5,Pool Perfection LLC,,meghan@poolperfection.com,167,"167 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/05-pool-perfection-llc.md
6,Cody Pools Inc,(813)886-9119,mtrissel@codypools.com,150,"150 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/06-cody-pools-inc.md
7,Premier Pools & Spas of Tampa LLC,(727)222-4413 / (314)623-3635,mnieters@ppas.com,127,"127 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/07-premier-pools-spas-of-tampa-llc.md
8,Dynasty Pools and Spas Corp,,,114,"114 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/08-dynasty-pools-and-spas-corp.md
9,Bella Differenza Construction,(239)258-9204,devinp@differenzahomes.com,110,110 residential pool permits across Hillsborough in the last 24 months,marketing/outreach/09-bella-differenza-construction.md
10,Natural Springs Pools Inc,(813)933-9500,michael@naturalspringspools.com,104,104 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/10-natural-springs-pools-inc.md
11,Tropical Pools and Pavers LLC,(727)647-2960,ronnie@tropicalpoolsandpavers.com,88,"88 residential pool permits across Pasco, Pinellas, and Hillsborough in the last 24 months",marketing/outreach/11-tropical-pools-and-pavers-llc.md
12,Patio Pools Inc,(813)335-6723 / (813)962-0374,islandtme@aol.com,80,80 residential pool permits across Pasco and Hillsborough in the last 24 months,marketing/outreach/12-patio-pools-inc.md
13,Blue Sky Pools,(813)781-5074,jenblueskypools@gmail.com,79,79 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/13-blue-sky-pools.md
14,Totally Blu Builders Inc,(813)550-2023 / (656)666-2583,totallyblubiz@gmail.com,78,78 residential pool permits across Pasco and Hillsborough in the last 24 months,marketing/outreach/14-totally-blu-builders-inc.md
15,Larsens Pool & Spa LLC,(727)786-7665 / (727)244-7665,eric@larsenspoolandspa.com,75,"75 residential pool permits across Pasco, Hillsborough, and Pinellas in the last 24 months",marketing/outreach/15-larsens-pool-spa-llc.md
16,Wahoo Pools Group Inc,(813)695-7312,davegreene@wahoopools.com,74,74 residential pool permits across Hillsborough and Pasco in the last 24 months,marketing/outreach/16-wahoo-pools-group-inc.md
17,Mandalay Pools and Spas,(813)693-7406 / (727)221-9255,generalcontractor@marquezbg.com,69,"69 residential pool permits across Hillsborough, Pasco, and Pinellas in the last 24 months",marketing/outreach/17-mandalay-pools-and-spas.md
18,Pcs Pools LLC,(727)542-3999 / (970)691-5200,david@pcs-pools.com,60,"60 residential pool permits across Pinellas, Hillsborough, and Pasco in the last 24 months",marketing/outreach/18-pcs-pools-llc.md
