rank,contractor,permits_24mo,licenses,jurisdictions,first_permit,last_permit,name_variants
1,TAMPA BAY POOLS ON THE GULF LLC/Marc Mihalsky,584,CPC1460499,Hillsborough County (unincorporated):351; Pasco County (unincorporated):222; Tampa:11,2024-09-06,2026-08-26,TAMPA BAY POOLS ON THE GULF LLC/Marc Mihalsky | TAMPA BAY POOLS ON THE GULF LLC | TAMPA BAY POOL ON THE GULF
2,GULFSTREAM POOLS & SPAS INC,261,CPC1458745,Pasco County (unincorporated):197; Hillsborough County (unincorporated):42; Pinellas County (unincorporated + contract cities):13; Tampa:6; Pinellas · Clearwater:3,2024-09-02,2026-08-26,GULFSTREAM POOLS & SPAS INC/TIMOTHY TENNANT | GULFSTREAM POOLS & SPAS INC
3,TRENDSETTER POOLS LLC,207,CPC1456591 CPC1457950,Tampa:126; Hillsborough County (unincorporated):53; Pasco County (unincorporated):28,2024-09-03,2026-08-17,TRENDSETTER POOLS LLC/Harold Robert Koster | TRENDSETTER POOLS LLC
4,"ISLANDWAY POOLS, LLC",193,CPC1459475,Hillsborough County (unincorporated):56; Pasco County (unincorporated):55; Pinellas County (unincorporated + contract cities):34; Tampa:30; Pinellas · Clearwater:18,2024-09-04,2026-08-18,"ISLANDWAY POOLS | ISLANDWAY POOLS LLC | ISLANDWAY POOLS, LLC"
5,POOL PERFECTION LLC,167,CPC1459557 CPC1461120,Hillsborough County (unincorporated):65; Pasco County (unincorporated):55; Pinellas County (unincorporated + contract cities):28; Tampa:13; Pinellas · Clearwater:6,2024-09-03,2026-08-24,POOL PERFECTION/KEvin Plankey | POOL PERFECTION LLC/Meghan  Kylene Byrne | POOL PERFECTION LLC | POOL PERFECTION | FROM THE GROUNG UP POOLS LLC
6,CODY POOLS INC,150,CPC1460475,Pasco County (unincorporated):65; Hillsborough County (unincorporated):52; Tampa:23; Pinellas County (unincorporated + contract cities):6; Pinellas · Clearwater:4,2024-09-05,2026-08-18,"CODY POOLS/Matthew Trissel | CODY POOLS INC | CODY POOLS, INC | CODY POOLS"
7,PREMIER POOLS & SPAS OF TAMPA LLC,127,CPC1457370 CPC1459471,Hillsborough County (unincorporated):64; Pasco County (unincorporated):30; Pinellas County (unincorporated + contract cities):21; Tampa:7; Pinellas · Clearwater:5,2024-09-04,2026-08-26,"PREMIER POOLS & SPAS | PREMIER POOLS & SPAS OF TAMPA LLC | PREMIER POOLS & SPAS OF TAMPA, LLC"
8,DYNASTY POOLS AND SPAS CORP/DANAYS ACOSTA BENITEZ,114,CPC1459886,Hillsborough County (unincorporated):54; Pasco County (unincorporated):43; Tampa:12; Pinellas County (unincorporated + contract cities):4; Pinellas · Clearwater:1,2024-09-05,2026-08-26,"DYNASTY POOLS AND SPAS CORP/DANAYS ACOSTA BENITEZ | DYNASTY POOLS AND SPAS CORP | DYNASTY POOLS AND SPAS, CORP | DYNASTY POOLS AND SPA CORP"
9,BELLA DIFFERENZA CONSTRUCTION/Devin Palazzo,110,CPC1459962 CPC1461463,Hillsborough County (unincorporated):109; Tampa:1,2024-09-05,2026-08-14,BELLA DIFFERENZA CONSTRUCTION/Devin Palazzo
10,NATURAL SPRINGS POOLS INC,104,CPC057112,Tampa:43; Pasco County (unincorporated):33; Hillsborough County (unincorporated):28,2024-09-06,2026-08-20,NATURAL SPRINGS POOLS INC
11,TROPICAL POOLS AND PAVERS LLC,88,CPC057338,Pasco County (unincorporated):29; Pinellas County (unincorporated + contract cities):25; Hillsborough County (unincorporated):19; Tampa:10; Pinellas · Clearwater:5,2024-09-04,2026-08-17,"TROPICIAL POOLS & PAVERS LLC/Ronald Wayne Larson | TROPICAL POOLS & PAVERS LLC | TROPICAL POOLS AND PAVERS LLC | TROPICAL POOLS AND PAVERS,LLC"
12,PATIO POOLS INC,80,CPC1458992,Pasco County (unincorporated):44; Hillsborough County (unincorporated):26; Tampa:10,2024-09-13,2026-08-20,"PATIO POOLS/Gina Schrader | PATIO POOLS INC | PATIO POOLS, INC"
13,BLUE SKY POOLS,79,CPC056999,Tampa:53; Pasco County (unincorporated):23; Hillsborough County (unincorporated):3,2024-09-11,2026-08-25,BLUE SKY POOLS INC | BLUE SKY POOLS
14,TOTALLY BLU BUILDERS INC,78,CPC1460835 CPC1460353,Pasco County (unincorporated):71; Hillsborough County (unincorporated):7,2024-09-19,2026-08-21,TOTALLY BLU BUILDERS/Sunil Mohammed | TOTALLY BLU BUILDERS INC
15,LARSENS POOL & SPA LLC,75,CPC1457680,Pasco County (unincorporated):27; Hillsborough County (unincorporated):26; Tampa:14; Pinellas County (unincorporated + contract cities):7; Pinellas · Clearwater:1,2024-09-04,2026-08-24,LARSENS POOL & SPA LLC | LARSEN'S POOL & SPA LLC
16,WAHOO POOLS GROUP INC,74,CPC1458680,Hillsborough County (unincorporated):57; Tampa:10; Pasco County (unincorporated):7,2024-09-10,2026-07-30,"WAHOO POOLS GROUP INC | WAHOO POOLS GROUP, INC"
17,MANDALAY POOLS AND SPAS,69,CPC1460451,Hillsborough County (unincorporated):36; Pasco County (unincorporated):21; Pinellas County (unincorporated + contract cities):9; Pinellas · Clearwater:3,2024-09-06,2026-07-13,MANDALAY POOLS & SPA/DAYANAY CASTILLO VILLA | MANDALAY POOLS AND SPAS | AQUA POOL GROUP LLC
18,PCS POOLS LLC,60,CPC1460402,Pinellas County (unincorporated + contract cities):22; Tampa:13; Hillsborough County (unincorporated):12; Pasco County (unincorporated):12; Pinellas · Clearwater:1,2024-09-04,2026-08-12,"PCS POOLS, LLC/David Palmer | PCS POOLS LLC"
19,LANDMARK POOLS INC,58,CPC1459121,Tampa:20; Pasco County (unincorporated):16; Hillsborough County (unincorporated):8; Pinellas County (unincorporated + contract cities):8; Pinellas · Clearwater:6,2024-09-03,2026-08-14,"LANDMARK POOLS INC | LANDMARK POOLS, INC | LANDMARK POOLS, INC."
20,PARADISE POOLS OF TAMPA BAY/Zachary Lyons,57,CPC1459732,Hillsborough County (unincorporated):26; Pasco County (unincorporated):24; Tampa:6; Pinellas County (unincorporated + contract cities):1,2024-09-05,2026-08-14,PARADISE POOLS OF TAMPA BAY/Zachary Lyons | PARADISE POOLS OF TAMPA BAY LLC | PARADISE POOLS OF TAMPA BAY
21,A BETTER POOL & SPA SERVICE LLC,56,CPC1456781,Pasco County (unincorporated):24; Hillsborough County (unincorporated):16; Tampa:15; Pinellas · Clearwater:1,2024-09-10,2026-08-13,"A BETTER POOL & SPA SERVICE LLC/Robert J Grosso | A BETTER POOL & SPA SERVICE LLC | A-BETTER POOL & SPA SERVICE, L"
22,HAWAIIAN ISLAND POOLS,48,CPC1461196 RP0066899,Pasco County (unincorporated):36; Hillsborough County (unincorporated):6; Pinellas County (unincorporated + contract cities):3; Pinellas · Clearwater:3,2024-09-16,2026-08-26,"HAWAIIAN ISLAND POOLS/Weston  Harry Hull | TWO TRACKS LLC DBA HAWAIIAN ISLAND POOLS | HAWAIIAN ISLAND POOLS | HAWAIIAN ISLAND POOLS INC | TWO TRACKS, LLC"
23,PETTIT FIBERGLASS POOLS,48,CPC1459625,Pasco County (unincorporated):35; Hillsborough County (unincorporated):8; Pinellas County (unincorporated + contract cities):4; Tampa:1,2024-09-03,2026-08-27,PETTIT POOLS/Daniel Edwards | PETTIT FIBERGLASS POOLS
24,COAST TO COAST POOLS,45,CPC1457311,Hillsborough County (unincorporated):25; Pasco County (unincorporated):20,2024-11-07,2026-08-26,COAST TO COAST POOLS | POINTERS POOLS & SPAS INC   DBA/COAST TO COAST POOLS
25,HIVE OUTDOOR LIVING LLC,43,CPC1458419,Hillsborough County (unincorporated):16; Tampa:16; Pasco County (unincorporated):8; Pinellas County (unincorporated + contract cities):2; Pinellas · Clearwater:1,2024-09-05,2026-07-27,HIVE OUTDOOR LIVING LLC/Robert F Foster | HIVE OUTDOOR LIVING LLC
26,J&C FIBERGLASS POOLS INC,43,CPC1460418,Hillsborough County (unincorporated):17; Pasco County (unincorporated):16; Tampa:5; Pinellas County (unincorporated + contract cities):4; Pinellas · Clearwater:1,2024-09-10,2026-08-27,J&C FIBERGLASS POOLS INC/COREY MORENO | J&C FIBERGLASS POOLS INC | J & C FIBERGLASS POOLS INC
27,PAYNE POOL PROFESSIONALS LLC,43,CPC1459092,Hillsborough County (unincorporated):18; Pasco County (unincorporated):18; Tampa:4; Pinellas County (unincorporated + contract cities):2; Pinellas · Clearwater:1,2024-09-10,2026-08-05,PAYNE POOL PROFESSIONALS/Sanders Payne | PAYNE POOL PROFESSIONALS LLC | PAYNE POOL PROFESSIONALS
28,TROPICAL ESCAPES POOL & SPA CONSTRUCTION INC,42,CPC1459158,Pasco County (unincorporated):28; Hillsborough County (unincorporated):12; Tampa:2,2024-10-15,2026-08-13,TROPICAL ESCAPES POOL BUILDERS LLC/Cody Allan Brown | TROPICAL ESCAPES POOL & SPA CONSTRUCTION INC | TROPICAL ESCAPES POOL BUILDERS LLC
